emp_length,state,homeownership,annual_income,debt_to_income,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,total_collection_amount_ever,accounts_opened_24m,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,loan_amount,term,interest_rate,installment,loan_status,balance,paid_total,credit_line_utilization,credit_utilization,num_accounts_past_due,cc_utilization,delinquent_history,credit_duration,has_credit_inquiries_last_12m,has_collection_accounts,has_accounts_opened_24m,has_bankrupt_history,has_past_due_accounts,debt_limit_exceded,is_bad_loan,is_homeowner
2.0,FL,MORTGAGE,91900.0,1.82,0,2000,4,26,10,450371,55939,0,7,10,0.0,0,2,9000,15,8,3,3,92.0,0,40000,60,9.92,848.31,Current,38434.2,2500.84,38.46,12.42,0.0,53.33,True,21,True,False,True,False,False,True,0,True
5.0,SC,MORTGAGE,122000.0,12.06,0,1990,8,32,12,263800,43686,31245,11,12,0.0,0,3,12100,20,9,5,3,84.4,0,16000,36,13.59,543.67,Current,14525.3,2204.88,37.5,16.56,0.0,45.0,True,31,True,True,True,False,False,True,0,True
10.0,CO,MORTGAGE,88000.0,3.67,0,1984,6,65,21,259915,14387,0,7,21,0.0,0,4,70800,53,20,6,3,98.4,0,17000,60,9.43,356.46,Current,16326.13,1060.47,32.31,5.54,0.0,37.74,True,37,True,False,True,False,False,False,0,True
10.0,TN,MORTGAGE,60000.0,38.46,0,1995,0,21,11,136815,75552,0,1,11,0.0,0,3,39700,10,8,3,2,100.0,0,20000,60,19.03,519.15,Current,19172.64,2023.74,52.38,55.22,0.0,80.0,True,26,False,False,True,False,False,False,0,True
3.0,NV,RENT,72000.0,20.33,0,2006,6,12,6,58911,54947,0,3,6,0.0,0,1,2500,5,4,2,0,91.7,0,30000,60,28.72,947.15,Current,28798.08,4687.88,50.0,93.27,0.0,80.0,True,15,True,False,True,False,False,True,0,False
10.0,IL,MORTGAGE,210000.0,9.53,0,2003,2,18,7,322046,73705,0,6,7,,0,2,17500,6,2,2,5,100.0,0,5000,36,26.77,203.51,Fully Paid,0.0,5202.6426724643,38.89,22.89,,33.33,True,18,True,False,True,False,False,False,0,True
1.0,CA,MORTGAGE,83000.0,18.44,3,2005,1,11,6,555154,39482,0,1,6,0.0,0,3,8300,7,4,3,2,63.6,0,20000,60,15.05,476.33,Fully Paid,0.0,20653.717721938,54.55,7.11,0.0,57.14,False,16,True,False,True,False,False,True,0,True
10.0,KY,MORTGAGE,50000.0,15.6,0,2003,0,13,9,70313,18128,0,4,9,0.0,0,2,18800,7,6,4,1,100.0,0,7000,36,6.08,213.21,Current,6102.23,1063.69,69.23,25.78,0.0,85.71,True,18,False,False,True,False,False,False,0,True
1.0,NV,MORTGAGE,42000.0,32.0,0,1991,4,19,9,272403,47575,0,5,9,0.0,0,3,10100,7,5,5,1,100.0,1,10000,36,11.98,332.05,Current,9296.37,989.49,47.37,17.46,0.0,71.43,True,30,True,False,True,True,False,False,0,True
5.0,NJ,MORTGAGE,100000.0,26.53,0,2002,1,64,17,566384,151251,150,10,17,0.0,0,3,26200,22,8,6,6,100.0,0,21050,60,13.59,485.34,Current,20045.3,1909.57,26.56,26.7,0.0,36.36,True,19,True,True,True,False,False,False,0,True
10.0,VA,RENT,82000.0,17.31,0,1999,1,26,7,65425,69177,0,3,7,0.0,0,2,11500,14,5,5,2,88.0,0,8000,36,7.96,250.55,Current,7403.61,744.57,26.92,105.73,0.0,35.71,True,22,True,False,True,False,False,False,0,False
7.0,PA,MORTGAGE,55000.0,14.42,0,2009,0,20,14,197985,17296,142,3,14,0.0,0,7,22100,16,12,8,1,100.0,0,18000,60,12.61,405.98,Current,17342.65,1205.33,70.0,8.74,0.0,75.0,True,12,False,True,True,False,False,False,0,True
1.0,NY,RENT,55000.0,13.68,0,2013,7,17,11,41891,26637,0,11,11,0.0,0,3,17700,16,10,4,0,100.0,0,10000,36,11.98,332.05,Current,9432.28,750.79,64.71,63.59,0.0,62.5,True,8,True,False,True,False,False,False,0,False
5.0,IL,RENT,33000.0,19.38,0,2013,0,9,8,43876,22920,0,2,8,0.0,0,3,17600,3,3,3,0,100.0,0,3200,36,7.34,99.31,Current,2557.44,696.63,88.89,52.24,0.0,100.0,True,8,False,False,True,False,False,False,0,False
3.0,GA,RENT,60000.0,11.0,0,1998,0,13,9,56000,14338,0,5,9,0.0,0,2,36400,9,7,2,1,92.3,0,10000,36,5.32,301.15,Current,8704.48,1498.36,69.23,25.6,0.0,77.78,True,23,False,False,True,False,False,False,0,False
4.0,MO,MORTGAGE,48000.0,2.88,0,2002,2,26,9,147217,2489,0,3,9,0.0,0,1,25000,18,6,1,2,100.0,0,6000,36,6.07,182.73,Current,5540.54,544.14,34.62,1.69,0.0,33.33,True,19,True,False,True,False,False,False,0,True
4.0,CA,MORTGAGE,106000.0,26.25,0,1997,2,36,15,405236,105548,0,4,15,,0,8,62120,26,12,12,4,100.0,0,12000,36,12.62,402.14,Current,10878.71,1600.15,41.67,26.05,,46.15,True,24,True,False,True,False,False,False,0,True
3.0,TX,MORTGAGE,245000.0,24.9,0,2002,1,37,20,772243,497876,0,4,20,0.0,0,2,74100,8,6,2,1,100.0,0,40000,60,9.44,838.91,Current,37878.15,3334.66,54.05,64.47,0.0,75.0,True,19,True,False,True,False,False,False,0,True
9.0,AR,MORTGAGE,50000.0,36.75,1,1982,0,31,20,246210,51523,0,3,20,0.0,0,8,71100,26,17,10,2,90.3,0,19000,60,19.03,493.19,Current,18214.02,1922.54,64.52,20.93,0.0,65.38,False,39,False,False,True,False,False,False,0,True
3.0,SC,MORTGAGE,80000.0,28.3,0,2004,0,27,14,250359,113927,0,4,14,0.0,0,3,23800,14,11,6,4,96.3,0,28000,60,20.39,747.92,Current,27169.59,2180.32,51.85,45.51,0.0,78.57,True,17,False,False,True,False,False,True,0,True
10.0,CA,MORTGAGE,140000.0,13.82,0,1993,2,21,12,631258,69647,0,5,12,0.0,0,1,58100,13,9,3,2,100.0,0,15000,60,9.93,318.19,Fully Paid,0.0,15005.166875,57.14,11.03,0.0,69.23,True,28,True,False,True,False,False,False,0,True
1.0,MD,OWN,70000.0,0.0,0,2004,0,13,3,30400,92,0,0,3,0.0,0,0,0,11,3,1,0,92.3,0,2400,36,6.08,73.1,Fully Paid,0.0,2409.0499926707,23.08,0.3,0.0,27.27,True,17,False,False,False,False,False,True,0,True
2.0,MD,RENT,45000.0,10.59,0,2003,1,9,7,14500,13304,0,0,7,0.0,0,4,11300,8,7,6,0,100.0,0,10000,36,21.45,379.07,Current,8961.95,1871.52,77.78,91.75,0.0,87.5,True,18,True,False,False,False,False,False,0,False
10.0,NJ,MORTGAGE,70000.0,17.06,0,1988,2,21,14,363649,29954,0,4,14,0.0,0,3,12900,15,10,7,2,95.2,0,24000,60,15.04,571.47,In Grace Period,23455.27,1102.83,66.67,8.24,0.0,66.67,True,33,True,False,True,False,False,True,1,True
2.0,PA,RENT,75000.0,18.53,0,2006,2,12,6,55075,34186,0,3,6,0.0,0,1,19600,9,4,2,0,100.0,0,9500,36,10.42,308.42,Current,8350.57,1531.1,50.0,62.07,0.0,44.44,True,15,True,False,True,False,False,False,0,False
2.0,CA,RENT,53592.0,7.1,0,2009,0,6,4,42499,10466,3943,1,4,0.0,0,1,18800,3,3,2,1,100.0,0,30000,36,12.61,1005.2,Current,27196.39,3978.77,66.67,24.63,0.0,100.0,True,12,False,True,True,False,False,True,0,False
5.0,MD,RENT,90000.0,15.72,0,2005,8,24,10,77285,51012,0,4,10,0.0,0,2,23900,11,8,3,3,100.0,0,15000,60,11.99,333.6,Current,14254.01,1314.42,41.67,66.01,0.0,72.73,True,16,True,False,True,False,False,False,0,False
10.0,VA,RENT,77000.0,14.82,0,1977,0,29,14,74852,44015,0,5,14,0.0,0,3,27700,19,11,6,3,96.6,0,35000,60,15.05,833.57,Current,33391.61,3275.75,48.28,58.8,0.0,57.89,True,44,False,False,True,False,False,True,0,False
2.0,TX,RENT,42000.0,25.89,0,2004,1,11,6,43239,31094,0,4,6,0.0,0,2,8300,7,3,3,0,100.0,0,10000,36,15.05,346.9,Current,9097.26,1379.24,54.55,71.91,0.0,42.86,True,17,True,False,True,False,False,True,0,False
4.0,TX,MORTGAGE,130000.0,13.51,0,1991,2,15,11,403408,49857,667,9,11,0.0,0,2,34300,7,6,4,2,100.0,0,40000,60,12.62,902.37,Current,38042.58,3581.44,73.33,12.36,0.0,85.71,True,30,True,True,True,False,False,True,0,True
10.0,NC,OWN,76300.0,10.71,0,1980,4,30,12,185068,26515,0,7,12,0.0,0,2,16800,21,9,4,3,96.7,1,15000,36,6.72,461.24,Current,13092.56,2295.0,40.0,14.33,0.0,42.86,True,41,True,False,True,True,False,False,0,True
2.0,FL,MORTGAGE,190000.0,2.68,0,2004,0,17,9,175300,18870,0,4,9,0.0,0,4,78300,10,8,5,1,100.0,0,20000,36,6.71,614.9,Current,18991.05,1214.89,52.94,10.76,0.0,80.0,True,17,False,False,True,False,False,False,0,True
0.0,TX,RENT,41000.0,25.7,0,2008,0,23,7,29311,13527,0,1,7,0.0,0,5,10300,7,5,5,2,100.0,0,4500,36,15.05,156.11,Current,4093.75,620.68,30.43,46.15,0.0,71.43,True,13,False,False,True,False,False,False,0,False
2.0,NE,RENT,30000.0,3.64,0,2012,0,9,7,18000,5542,0,1,7,0.0,0,2,17000,8,7,3,0,100.0,0,16000,60,9.93,339.41,Current,14947.68,1688.22,77.78,30.79,0.0,87.5,True,9,False,False,True,False,False,False,0,False
6.0,NC,MORTGAGE,88000.0,17.24,0,2004,2,39,25,404236,199983,0,5,25,0.0,0,3,32000,8,6,4,2,97.4,0,10000,36,10.42,324.65,Current,9036.27,1292.81,64.1,49.47,0.0,75.0,True,17,True,False,True,False,False,False,0,True
2.0,TX,MORTGAGE,115000.0,18.72,0,2005,6,21,15,394519,69124,0,11,15,,0,8,40150,12,10,5,2,76.0,0,20000,60,22.91,562.78,Current,19255.22,2225.66,71.43,17.52,,83.33,True,16,True,False,True,False,False,False,0,True
10.0,TX,RENT,95731.0,19.64,0,2002,1,37,15,86768,53109,0,10,15,0.0,0,2,33700,21,13,4,0,100.0,0,20600,60,30.79,676.52,Current,19821.53,3345.79,40.54,61.21,0.0,61.9,True,19,True,False,True,False,False,False,0,False
2.0,CA,RENT,127000.0,9.12,1,2013,0,11,9,74518,34313,0,2,9,0.0,0,3,32300,9,8,4,0,100.0,0,35000,60,15.05,833.57,Current,33396.01,3305.02,81.82,46.05,0.0,88.89,True,8,False,False,True,False,False,True,0,False
10.0,GA,MORTGAGE,75000.0,22.91,0,1993,0,27,8,224758,63799,0,1,8,0.0,0,1,23000,8,3,1,3,100.0,0,10000,36,6.07,304.54,Current,9234.27,910.25,29.63,28.39,0.0,37.5,True,28,False,False,True,False,False,False,0,True
5.0,NC,MORTGAGE,70000.0,21.41,0,2008,1,21,6,279995,52244,0,4,6,0.0,0,1,14800,10,3,2,3,100.0,0,12000,36,6.07,365.45,Current,11081.12,1092.3,28.57,18.66,0.0,30.0,True,13,True,False,True,False,False,False,0,True
8.0,NJ,MORTGAGE,75000.0,20.16,0,2006,4,39,23,365595,30262,391,9,23,0.0,0,6,49600,31,20,7,1,100.0,0,15000,36,7.34,465.5,Current,13871.88,1390.38,58.97,8.28,0.0,64.52,True,15,True,True,True,False,False,False,0,True
10.0,NV,MORTGAGE,73000.0,39.08,0,2007,8,28,24,146435,51162,0,9,24,0.0,0,8,40600,24,21,13,1,100.0,1,20000,36,13.59,679.58,Current,18156.66,2703.22,85.71,34.94,0.0,87.5,True,14,True,False,True,True,False,False,0,True
10.0,CO,RENT,188000.0,11.64,0,2005,1,26,24,80444,45181,0,10,24,0.0,0,15,28500,22,22,20,0,100.0,0,10000,36,5.31,301.11,Current,8965.72,1201.49,92.31,56.16,0.0,100.0,True,16,True,False,True,False,False,False,0,False
8.0,WV,MORTGAGE,50000.0,12.15,0,2007,8,27,13,97664,21687,0,3,13,0.0,0,4,25600,21,11,4,2,96.2,1,25000,36,9.93,805.86,Current,21955.1,4015.51,48.15,22.21,0.0,52.38,True,14,True,False,True,True,False,False,0,True
10.0,MD,OWN,58000.0,12.58,0,2004,0,22,10,37300,14770,0,3,10,0.0,0,4,17000,14,9,6,2,86.4,0,10000,36,9.92,322.3,Current,9275.14,961.39,45.45,39.6,0.0,64.29,True,17,False,False,True,False,False,False,0,True
1.0,VA,RENT,105000.0,16.73,0,1990,0,6,6,63600,53168,0,0,6,0.0,0,4,51100,5,5,4,0,100.0,0,6000,36,9.93,193.41,Current,5417.78,768.68,100.0,83.6,0.0,100.0,True,31,False,False,False,False,False,False,0,False
10.0,VA,MORTGAGE,114000.0,28.13,1,2001,1,28,17,451597,88594,0,8,17,0.0,0,2,33000,14,10,8,5,96.4,0,20000,60,14.07,466.1,Current,19297.02,1367.03,60.71,19.62,0.0,71.43,False,20,True,False,True,False,False,False,0,True
10.0,CA,MORTGAGE,150000.0,7.89,0,1992,1,22,8,96633,43253,0,6,8,0.0,0,4,54000,18,6,4,0,100.0,0,15000,36,7.97,469.84,Current,13504.32,1866.08,36.36,44.76,0.0,33.33,True,29,True,False,True,False,False,False,0,True
0.0,PA,MORTGAGE,69000.0,15.42,0,2003,0,37,8,291176,33890,0,3,8,0.0,0,2,57700,23,5,3,2,94.3,0,20000,36,5.31,602.21,Current,18452.04,1800.73,21.62,11.64,0.0,21.74,True,18,False,False,True,False,False,False,0,True
10.0,FL,MORTGAGE,30000.0,32.4,0,2005,1,27,23,69244,23425,0,4,21,,0,5,16850,23,20,15,0,93.0,0,10500,60,9.93,222.74,Current,9949.81,885.17,85.19,33.83,,86.96,True,16,True,False,True,False,False,False,0,True
5.0,IL,MORTGAGE,60000.0,17.28,0,2002,2,16,13,47882,36724,295,8,13,0.0,0,6,12300,13,11,8,1,100.0,1,11400,60,14.08,265.74,Current,10862.71,1098.63,81.25,76.7,0.0,84.62,True,19,True,True,True,True,False,False,0,True
5.0,NH,MORTGAGE,74000.0,32.06,0,1999,0,15,9,384554,63783,0,1,9,0.0,0,5,66400,7,5,5,3,100.0,0,5500,36,12.61,184.29,Current,5116.52,549.02,60.0,16.59,0.0,71.43,True,22,False,False,True,False,False,False,0,True
0.0,UT,RENT,25000.0,3.7,1,1972,1,6,4,1900,807,0,2,4,0.0,0,2,1200,6,4,3,0,66.7,0,5000,36,12.62,167.56,Current,4412.9,829.04,66.67,42.47,0.0,66.67,False,49,True,False,True,False,False,True,0,False
0.0,MA,RENT,31000.0,16.26,0,2009,2,32,21,43430,14955,0,11,21,0.0,0,8,22000,24,20,10,0,100.0,0,15000,36,12.62,502.67,Current,13238.74,2502.83,65.62,34.43,0.0,83.33,True,12,True,False,True,False,False,False,0,False
3.0,NJ,RENT,64000.0,8.72,0,2010,0,5,5,49500,19719,0,1,5,0.0,0,2,25000,4,4,2,0,100.0,0,10000,36,6.71,307.45,Current,9241.17,914.89,100.0,39.84,0.0,100.0,True,11,False,False,True,False,False,False,0,False
3.0,KY,RENT,24000.0,16.3,0,2011,1,11,11,54966,42068,0,3,11,0.0,0,1,10000,2,2,1,0,100.0,0,10450,60,19.42,273.5,Current,9609.03,1297.95,100.0,76.53,0.0,100.0,True,10,True,False,True,False,False,True,0,False
2.0,NC,MORTGAGE,77000.0,16.04,0,2012,3,23,16,188426,59514,0,8,16,0.0,0,2,14800,11,10,2,1,100.0,0,7200,36,12.62,241.29,Current,6527.2,960.11,69.57,31.58,0.0,90.91,True,9,True,False,True,False,False,False,0,True
10.0,FL,MORTGAGE,31000.0,28.42,0,2001,0,15,8,190216,24861,0,0,8,0.0,0,4,20300,7,6,6,4,100.0,0,35000,60,14.08,815.85,Current,32925.97,4119.53,53.33,13.07,0.0,85.71,True,20,False,False,False,False,False,True,0,True
0.0,OH,RENT,60000.0,19.22,0,2007,3,23,14,69357,68594,0,2,14,0.0,0,3,10600,4,4,4,0,100.0,0,2400,36,17.47,86.13,Current,2244.18,256.06,60.87,98.9,0.0,100.0,True,14,True,False,True,False,False,False,0,False
9.0,TX,MORTGAGE,41787.0,37.74,0,1992,1,32,11,42639,36441,0,7,11,0.0,0,8,22300,17,9,9,1,100.0,0,12800,36,18.06,463.14,Current,11693.32,1871.83,34.38,85.46,0.0,52.94,True,29,True,False,True,False,False,False,0,True
4.0,CA,MORTGAGE,45000.0,15.44,0,2005,2,31,18,215675,13559,0,13,18,0.0,0,5,20700,21,15,6,2,100.0,1,8000,36,16.02,281.34,Current,7103.69,1392.46,58.06,6.29,0.0,71.43,True,16,True,False,True,True,False,False,0,True
0.0,OK,MORTGAGE,77000.0,18.39,0,2001,3,11,7,174300,31663,542,4,7,0.0,0,2,12400,5,3,3,1,90.0,0,30000,36,19.03,1100.14,Current,27442.4,4368.84,63.64,18.17,0.0,60.0,True,20,True,True,True,False,False,True,0,True
1.0,PA,MORTGAGE,72000.0,27.23,0,2001,7,21,13,158659,65964,0,8,13,0.0,0,2,7900,8,7,4,1,95.2,1,7000,36,12.62,234.58,Current,6178.08,1163.08,61.9,41.58,0.0,87.5,True,20,True,False,True,True,False,False,0,True
8.0,TX,MORTGAGE,165000.0,11.14,0,2000,2,24,8,103527,70510,0,5,8,0.0,0,3,43500,9,6,4,2,100.0,0,25000,36,6.07,761.35,Current,22441.1,3036.97,33.33,68.11,0.0,66.67,True,21,True,False,True,False,False,False,0,True
10.0,FL,MORTGAGE,43000.0,1.56,0,1984,3,30,15,45100,860,0,8,15,0.0,0,3,35600,21,15,3,2,100.0,0,40000,60,9.43,838.71,Current,37877.63,3220.14,50.0,1.91,0.0,71.43,True,37,True,False,True,False,False,True,0,True
10.0,VA,MORTGAGE,90000.0,17.44,0,1999,1,32,10,524622,87687,0,3,10,0.0,0,3,63500,14,7,3,4,100.0,0,24000,60,10.42,514.91,Current,22440.6,2505.09,31.25,16.71,0.0,50.0,True,22,True,False,True,False,False,False,0,True
10.0,SD,OWN,95000.0,11.45,0,1975,2,40,10,73740,14461,0,6,10,0.0,0,5,29600,23,9,8,0,100.0,1,5000,36,7.96,156.59,Current,4627.27,465.35,25.0,19.61,0.0,39.13,True,46,True,False,True,True,False,False,0,True
10.0,MO,MORTGAGE,152000.0,21.09,0,2001,5,44,18,476029,121076,0,9,18,0.0,0,4,170900,27,13,6,4,97.7,0,40000,60,13.59,922.25,Current,37600.0,4550.85,40.91,25.43,0.0,48.15,True,20,True,False,True,False,False,False,0,True
2.0,IL,MORTGAGE,49500.0,34.86,0,2006,1,35,14,241110,159851,0,8,14,0.0,0,3,26700,8,7,5,1,100.0,0,15000,60,15.04,357.17,Current,14486.1,996.32,40.0,66.3,0.0,87.5,True,15,True,False,True,False,False,False,0,True
5.0,TX,OWN,32000.0,13.77,0,2004,1,21,15,37596,18294,1176,9,15,0.0,0,3,11800,13,8,6,0,76.2,0,5000,36,12.61,167.54,Current,4651.37,499.12,71.43,48.66,0.0,61.54,True,17,True,True,True,False,False,False,0,True
8.0,FL,RENT,78000.0,9.61,0,1996,3,21,15,48354,40982,1358,3,15,0.0,0,5,11900,8,7,6,1,68.4,1,7000,36,7.96,219.23,Current,6478.16,654.59,71.43,84.75,0.0,87.5,True,25,True,True,True,True,False,False,0,False
2.0,AZ,RENT,52000.0,24.39,0,2004,4,23,9,86360,47451,8003,3,9,0.0,0,1,24500,11,5,1,1,100.0,0,17450,60,13.58,402.25,Current,16828.69,1219.92,39.13,54.95,0.0,45.45,True,17,True,True,True,False,False,False,0,False
10.0,NY,MORTGAGE,147000.0,5.16,0,2005,6,11,8,386381,23551,0,6,8,0.0,0,5,20500,6,6,6,1,81.8,0,30000,60,16.01,729.71,Current,29336.68,1432.74,72.73,6.1,0.0,100.0,True,16,True,False,True,False,False,True,0,True
10.0,NJ,OWN,140000.0,28.53,0,1983,1,40,14,454500,177350,0,5,14,0.0,0,7,77500,23,12,11,3,100.0,0,15000,36,22.91,579.95,Current,13791.64,2281.62,35.0,39.02,0.0,52.17,True,38,True,False,True,False,False,False,0,True
5.0,IL,RENT,50000.0,20.74,0,2002,8,39,28,128476,16061,0,7,28,0.0,0,9,60000,32,27,14,1,100.0,0,20000,36,7.97,626.46,Current,17499.09,3110.16,71.79,12.5,0.0,84.38,True,19,True,False,True,False,False,False,0,False
3.0,TX,MORTGAGE,190000.0,15.84,0,2000,0,15,10,619105,84019,0,5,10,0.0,0,3,62000,9,6,5,2,100.0,0,12000,36,6.08,365.5,Current,10771.9,1474.16,66.67,13.57,0.0,66.67,True,21,False,False,True,False,False,False,0,True
10.0,CO,RENT,126000.0,3.82,0,2003,0,9,3,49529,7020,0,0,3,0.0,0,1,27200,5,2,1,0,100.0,0,16500,36,5.32,496.9,Current,14793.69,1982.72,33.33,14.17,0.0,40.0,True,18,False,False,False,False,False,False,0,False
10.0,MA,MORTGAGE,95000.0,15.48,0,2010,2,18,13,277964,47779,0,9,13,0.0,0,6,39100,10,9,7,1,100.0,1,19200,36,5.32,578.21,Current,17214.48,2307.17,72.22,17.19,0.0,90.0,True,11,True,False,True,True,False,False,0,True
10.0,NJ,MORTGAGE,80000.0,14.16,0,2009,2,19,11,285387,22788,0,3,11,0.0,0,6,32500,11,8,6,2,100.0,0,7050,36,9.93,227.26,Current,6191.3,1132.41,57.89,7.98,0.0,72.73,True,12,True,False,True,False,False,False,0,True
10.0,MN,MORTGAGE,23000.0,49.58,0,1994,2,31,11,44927,29553,0,3,10,0.0,0,7,14700,17,10,7,2,96.0,1,15000,60,20.0,397.41,Current,14395.45,1572.97,35.48,65.78,0.0,58.82,True,27,True,False,True,True,False,True,0,True
10.0,NY,OWN,66000.0,13.27,0,1990,0,11,7,65475,60327,0,2,7,0.0,0,3,20800,9,6,5,1,81.8,0,11200,36,15.05,388.53,Current,10188.92,1535.39,63.64,92.14,0.0,66.67,True,31,False,False,True,False,False,False,0,True
5.0,IL,RENT,60000.0,16.72,0,2012,13,11,11,242220,30552,0,7,11,0.0,0,6,15600,8,8,7,1,100.0,0,8000,36,7.96,250.55,Current,7403.61,744.57,100.0,12.61,0.0,100.0,True,9,True,False,True,False,False,False,0,False
0.0,TX,MORTGAGE,101000.0,18.5,1,2005,2,41,15,343573,39168,0,8,15,0.0,0,4,20000,26,10,5,2,95.1,0,20000,60,26.77,607.97,Current,19503.68,1764.42,36.59,11.4,0.0,38.46,False,16,True,False,True,False,False,True,0,True
4.0,TN,MORTGAGE,113000.0,15.28,0,2002,6,29,21,795794,78028,0,7,21,0.0,0,4,16600,13,10,7,3,100.0,1,10800,60,9.44,226.51,Current,10081.03,1126.89,72.41,9.81,0.0,76.92,True,19,True,False,True,True,False,False,0,True
10.0,NH,MORTGAGE,61000.0,19.05,0,1998,9,41,11,141543,42210,15599,3,11,0.0,0,1,3000,27,8,4,3,87.8,0,7200,36,13.59,244.65,Current,6536.39,1003.07,26.83,29.82,0.0,29.63,True,23,True,True,True,False,False,True,0,True
1.0,SC,RENT,28000.0,26.96,0,2011,0,11,10,28300,13329,0,0,10,0.0,0,5,7900,10,9,8,0,100.0,0,12000,36,15.04,416.22,Current,11192.5,1228.61,90.91,47.1,0.0,90.0,True,10,False,False,False,False,False,True,0,False
2.0,NY,MORTGAGE,75000.0,21.63,0,2004,2,27,17,213035,79897,0,7,17,0.0,0,4,46900,19,14,7,3,100.0,0,20000,36,5.31,602.21,Current,18452.04,1800.73,62.96,37.5,0.0,73.68,True,17,True,False,True,False,False,False,0,True
2.0,FL,MORTGAGE,44000.0,24.77,0,2011,8,16,9,56476,40706,167,7,9,0.0,0,2,9500,8,6,5,0,100.0,0,7200,36,14.08,246.36,Fully Paid,0.0,7518.1804182483,56.25,72.08,0.0,75.0,True,10,True,True,True,False,False,False,0,True
2.0,TX,RENT,60000.0,18.36,0,2011,2,15,5,36564,20307,110,2,5,0.0,0,1,600,2,2,2,0,100.0,0,6000,36,13.59,203.88,Current,5304.78,1014.87,33.33,55.54,0.0,100.0,True,10,True,True,True,False,False,True,0,False
10.0,TX,RENT,47000.0,18.92,0,2004,0,22,8,24823,11443,0,5,8,0.0,0,3,8300,7,5,3,0,100.0,0,5000,36,7.97,156.62,Current,4501.41,622.05,36.36,46.1,0.0,71.43,True,17,False,False,True,False,False,False,0,False
